Header,VarLen,Speed,Start angle,MP1 distance,MP1 intensity,MP2 distance,MP2 intensity,MP3 distance,MP3 intensity,MP4 distance,MP4 intensity,MP5 distance,MP5 intensity,MP6 distance,MP6 intensity,MP7 distance,MP7 intensity,MP8 distance,MP8 intensity,MP9 distance,MP9 intensity,MP10 distance,MP10 intensity,MP11 distance,MP11 intensity,MP12 distance,MP12 intensity,End angle,Timestamps,Crc check,,Converted angles
84,44,3604,25197,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,25919,10303,63,,251.97
84,44,3604,26131,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,27000,10303,46,,261.31
84,44,3604,26943,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,27948,10496,63,,269.43
84,44,3604,28031,63,63,63,63,63,63,63,63,280,63,349,63,349,63,363,63,377,63,319,63,319,63,319,63,28735,10499,63,,280.31
84,44,3604,28982,3135,63,3194,63,3194,63,3179,63,3179,63,3179,63,3179,63,3163,63,3163,63,3163,63,3163,63,3163,63,29759,10501,46,,289.82
84,44,3604,29982,3163,63,3163,63,3148,63,3163,63,3163,63,3163,63,3179,63,3179,63,3179,63,3194,63,3194,63,2879,63,30783,10504,60,,299.82
84,44,3604,30783,2884,63,575,63,575,63,575,63,575,63,575,63,575,63,635,63,575,63,619,63,575,63,575,63,31813,10507,28,,307.83
84,44,3604,31807,575,63,635,63,575,63,575,63,575,63,575,63,575,63,575,63,575,63,575,63,575,63,575,63,16128,10509,63,,318.07
84,44,3602,16207,575,63,575,63,575,63,575,63,575,63,575,63,575,63,575,63,575,63,575,63,575,63,575,63,16191,10512,79,,162.07
84,44,3602,16143,575,63,575,63,575,63,575,63,575,63,575,63,575,63,575,63,575,63,575,63,575,63,575,63,16244,10514,63,,161.43
84,44,3602,16172,260,63,270,63,275,63,284,63,289,63,298,63,302,63,311,63,316,63,325,63,330,63,347,63,319,10520,63,,161.72
84,44,3602,575,362,63,370,63,374,63,319,63,319,63,319,63,319,63,319,63,604,63,557,63,588,63,588,63,1343,10522,63,,5.75
84,44,3602,1343,573,63,557,63,588,63,588,63,588,63,557,63,319,63,526,63,542,63,573,63,558,63,558,63,2390,10525,63,,13.43
84,44,3602,3420,335,63,335,63,328,63,331,63,326,63,337,63,336,63,335,63,342,63,338,63,336,63,321,63,4159,10530,63,,34.2
84,44,3602,4159,63,63,63,63,63,63,63,63,63,63,63,63,108,63,118,63,123,63,63,63,63,63,63,63,5203,10533,77,,41.59
84,44,3602,6233,74,63,81,63,64,63,66,63,67,63,67,63,67,63,77,63,92,63,110,63,119,63,123,63,6975,10538,63,,62.33
84,44,3602,7182,125,63,126,63,127,63,127,63,127,63,127,63,107,63,97,63,102,63,105,63,106,63,127,63,8054,10541,63,,71.82
84,44,3602,7999,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,9013,10543,122,,79.99
84,44,3602,9023,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,9791,10546,63,,90.23
84,44,3602,10045,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,120,63,104,63,96,63,92,63,10815,10549,124,,100.45
84,44,3602,10815,80,63,74,63,81,63,84,63,96,63,92,63,90,63,89,63,88,63,78,63,73,63,70,63,11887,10551,107,,108.15
84,44,3602,11839,69,63,58,63,63,63,65,63,56,63,52,63,50,63,39,63,33,63,30,63,19,63,23,63,12843,10554,123,,118.39
84,44,3602,12926,15,63,21,63,24,63,26,63,37,63,32,63,30,63,29,63,28,63,28,63,28,63,28,63,13631,10557,63,,129.26
